x,y
0,150
9.51358794848468,149.698001470783
18.9888680360624,148.793221924619
28.3876866540615,147.289304589406
37.6721980771619,145.192305209453
46.8050168547731,142.510667661142
55.7493683490491,139.255189952411
64.4692368133758,135.438980742993
72.9295104150703,131.077406560468
81.0961226183397,126.188029924677
88.9361893581961,120.790538629659
96.4181414529809,114.906666467847
103.511851722317,108.560105715761
110.18875629863,101.77641173357
116.421969643764,94.5829000626784
122.18639280755,87.0085364356797
127.458814492427,79.0838201415754
132.218004517137,70.8406612159024
136.444799303178,62.312251950283
140.122179039766,53.5329332387808
143.235336216611,44.5380562992412
145.771735248531,35.3638403264141
147.721162951831,26.0472266500396
149.075769669188,16.6257299851517
149.830100877451,7.13728737356133
149.981119151081,-2.3798945752212
149.528216392791,-11.8874935285183
148.47321628214,-21.3472257409928
146.820366932217,-30.7210002097786
144.576323783991,-39.9710720535053
141.7501228072,-49.0601944976133
138.353144115687,-57.9517688539693
134.3990661437,-66.6099918908661
129.903810567666,-75
124.885478195216,-83.0880095799166
119.364276079625,-90.84145307065
113.362436153139,-98.2291100917928
106.904125706829,-105.221233155948
100.015350077444,-111.789667451363
92.7238479330908,-117.907964211418
85.0589795794156,-123.551487214475
77.051608736011,-128.697511985247
68.7339782591116,-133.325317298239
60.139580310992,-137.41626861481
51.3030214988503,-140.953893117886
42.2598835262145,-143.923946042175
33.0465799179811,-146.314468032811
23.7002093960025,-148.115833301459
14.2584064956274,-149.320788385963
4.75919002471015,-149.924481357478
-4.75919002471018,-149.924481357478
-14.2584064956274,-149.320788385963
-23.7002093960025,-148.115833301459
-33.0465799179811,-146.314468032811
-42.2598835262145,-143.923946042175
-51.3030214988503,-140.953893117886
-60.1395803109921,-137.41626861481
-68.7339782591115,-133.325317298239
-77.051608736011,-128.697511985247
-85.0589795794156,-123.551487214475
-92.7238479330908,-117.907964211418
-100.015350077444,-111.789667451363
-106.904125706829,-105.221233155948
-113.362436153139,-98.2291100917928
-119.364276079625,-90.84145307065
-124.885478195216,-83.0880095799166
-129.903810567666,-75
-134.3990661437,-66.6099918908661
-138.353144115687,-57.9517688539693
-141.7501228072,-49.0601944976133
-144.576323783991,-39.9710720535052
-146.820366932217,-30.7210002097786
-148.47321628214,-21.3472257409928
-149.528216392791,-11.8874935285183
-149.981119151081,-2.37989457522114
-149.830100877451,7.13728737356136
-149.075769669188,16.6257299851516
-147.721162951831,26.0472266500395
-145.771735248531,35.3638403264141
-143.235336216611,44.5380562992412
-140.122179039766,53.5329332387808
-136.444799303178,62.312251950283
-132.218004517137,70.8406612159024
-127.458814492427,79.0838201415754
-122.18639280755,87.0085364356797
-116.421969643764,94.5829000626784
-110.18875629863,101.77641173357
-103.511851722317,108.560105715761
-96.4181414529809,114.906666467847
-88.936189358196,120.790538629659
-81.0961226183396,126.188029924677
-72.9295104150703,131.077406560468
-64.4692368133758,135.438980742993
-55.7493683490491,139.255189952411
-46.8050168547731,142.510667661142
-37.6721980771619,145.192305209453
-28.3876866540615,147.289304589406
-18.9888680360624,148.793221924619
-9.51358794848468,149.698001470783
-3.67394039744206e-14,150
